action,post_id,slug,title,field,meta_key,before_snippet,after_snippet,expected_origin,reason
updated,58201,cosrx-snail-essence-snail-cream-combo-2-pcs,"Cosrx Advance 96 Snail Essence  & 92 Snail Cream Combo 2 pcs",post_excerpt,,"Buy Cosrx snail essence + snail cream Combo - 2 pcs in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Cosrx snail essence + snail cream Combo - 2 pcs in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60026,beginner-friendly-rice-centella-brightening-combo-3pcs,"Beginner Friendly Rice & Centella Brightening Combo 3pcs",post_excerpt,,"Buy Beginner Friendly Rice &amp; Centella Brightening Combo 3pcs in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Beginner Friendly Rice &amp; Centella Brightening Combo 3pcs in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60071,rice-brightening-combo,"Rice brightening combo",post_content,,"Bangladesh’s weather and skin care needs have been kept in mind when bringing this product to you. The Rice Brightening Combo by Jigott Korea is specially designed to tackle t...","Bangladesh’s weather and skin care needs have been kept in mind when bringing this product to you. The Rice Brightening Combo by Jigott Korea is specially designed to tackle t...",,"bad copy in post_content"
updated,60071,rice-brightening-combo,"Rice brightening combo",post_excerpt,,"Buy Rice brightening combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Rice brightening combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60754,anua-heartleaf-pore-control-double-cleansing-combo,"Anua Heartleaf Pore Control Double Cleansing Combo",post_excerpt,,"Buy Anua Heartleaf Pore Control Double Cleansing Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Anua Heartleaf Pore Control Double Cleansing Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60760,dabo-t-tree-cica-complete-acne-solution-combo-ship,"DABO T-Tree Cica Complete Acne Solution Combo Ship",post_content,,"One of our customers first told us about this product. Intrigued by their glowing review, we decided to bring the DABO T-Tree Cica Complete Acne Solution Combo Ship to Banglades...","One of our customers first told us about this product. Intrigued by their glowing review, we decided to bring the DABO T-Tree Cica Complete Acne Solution Combo Ship to Banglades...",,"bad copy in post_content"
updated,60760,dabo-t-tree-cica-complete-acne-solution-combo-ship,"DABO T-Tree Cica Complete Acne Solution Combo Ship",post_excerpt,,"Buy DABO T-Tree Cica Complete Acne Solution Combo Ship in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy DABO T-Tree Cica Complete Acne Solution Combo Ship in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60762,dabo-brightening-repair-skincare-combo,"DABO Brightening & Repair Skincare Combo",post_content,,"The Emart team has personally tested the DABO Brightening &amp; Repair Skincare Combo, and we’re confident you’ll love it as much as we do! This Korean skincare combo is per...","The Emart team has personally tested the DABO Brightening &amp; Repair Skincare Combo, and we’re confident you’ll love it as much as we do! This Korean skincare combo is per...",,"bad copy in post_content"
updated,60762,dabo-brightening-repair-skincare-combo,"DABO Brightening & Repair Skincare Combo",post_excerpt,,"Buy DABO Brightening &amp; Repair Skincare Combo in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy DABO Brightening &amp; Repair Skincare Combo in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
updated,60793,student-combo-dabo-rice-cleanser-dabo-snail-moisturizer,"Student Combo: Dabo Rice Cleanser + Dabo Snail Moisturizer",post_excerpt,,"Buy Student Combo: Dabo Rice Cleanser + Dabo Snail Moisturizer in Bangladesh. 100% authentic Korea import. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.","Buy Student Combo: Dabo Rice Cleanser + Dabo Snail Moisturizer in Bangladesh. 100% authentic Korean product. Dhaka 1-2 days delivery. COD available at Emart Skincare Bangladesh.",,"bad copy in post_excerpt"
