severity,post_id,slug,title,brand,origin,title_type,meta_type,meta_len,h3_count,has_disclaimer,issues,meta
HIGH,4172,innisfree-jeju-bija-trouble-facial-foam-150ml,Innisfree Bija Trouble Cleansing Foam 150ml,Innisfree,South Korea,foam_cleanser,foam_cleanser,159,6,yes,MED:meta_length_outside_130_158:159 || HIGH:medical_treatment_claim:Key Benefits Clears pores — Bija seed oil and clay help remove excess sebum and pollution residue Reduces breakouts — salicylic acid gently exfoliates inside pores to prevent acne ,Innisfree Bija Trouble Cleansing Foam clears acne and pores with Bija oil and salicylic acid. 100% authentic Korean foam cleanser price in Bangladesh at Emart.
HIGH,26355,some-by-mi-aha-bha-pha-30-days-miracle-cleansing-bar,Some By Mi aha bha pha 30 Days Cleansing Bar 106g,Some By Mi,South Korea,cleansing_bar,cleansing_bar,156,6,yes,HIGH:medical_treatment_claim:Key Ingredients AHA — Alpha-hydroxy acid that exfoliates the skin's surface to improve texture and brightness BHA — Beta-hydroxy acid that penetrates pores to remove excess sebum a,"Some By Mi multi-acid cleansing bar for oily, acne-prone skin with AHA, BHA, PHA — exfoliates pores. Authentic South Korean import at Emart Bangladesh, COD."
HIGH,59400,aprilskin-real-carrotene-acne-foam-cleanser-120g,Aprilskin REAL CARROTENE ACNE FOAM CLEANSER 120g,Aprilskin REAL CARROTENE,South Korea,foam_cleanser,foam_cleanser,155,6,yes,"HIGH:medical_treatment_claim:Key Ingredients Carrot Extract — rich in beta-carotene and antioxidants; soothes irritation and supports a brighter, more even skin tone Salicylic Acid — a beta hydroxy acid (BHA) ","Aprilskin REAL CARROTENE acne foam cleanser for oily, acne-prone skin — carrot extract + salicylic acid. Low pH 5.5 formula — buy at Emart Bangladesh, COD."
HIGH,74810,mamaearth-ubtan-natural-glow-face-wash-100ml,Mamaearth Ubtan Natural Glow Face Wash 100ml,Mamaearth Ubtan Natural,India,foam_cleanser,foam_cleanser,139,6,yes,HIGH:medical_treatment_claim:Key Ingredients Ubtan — Traditional brightening blend that promotes a radiant complexion Neem Extract — Antibacterial agent that helps prevent acne and impurities Turmeric Aloe Ver,"Mamaearth Ubtan face wash for dull, oily skin with Turmeric and Neem — brightening. Authentic Indian import — buy at Emart Bangladesh, COD."
MED,2595,cosrx-low-ph-good-morning-gel-cleanser-150ml,COSRX Low pH Good Morning Gel Cleanser 150ml,CosRx,South Korea,gel_cleanser,cleansing_bar|gel_cleanser,134,7,yes,MED:h3_count_not_6:7,COSRX Low pH Gel Cleanser lifts oil while keeping the skin barrier intact. Low pH 5.5 tea tree formula — price in Bangladesh at Emart.
MED,3746,some-by-mi-aha-bha-pha-30-days-cleansing-bar,Some By Mi aha bha pha 30 Days Cleansing Bar,Some By Mi,South Korea,cleansing_bar,cleansing_bar,145,6,yes,MED:strong_acne_clearing_wording:Key Benefits Exfoliates dead skin cells — AHA dissolves surface buildup for a smoother complexion Unclogs pores — BHA penetrates deep into pores to clear sebum and reduce blackhead,"Some By Mi cleansing bar with AHA BHA PHA for acne-prone, oily skin — gentle exfoliation. Authentic South Korean import at Emart Bangladesh, COD."
MED,4017,skinfood-egg-white-perfect-pore-cleansing-foam-150ml,Skinfood Egg White Perfect Pore Cleansing Foam 150ml,skinfood,South Korea,foam_cleanser,foam_cleanser,139,7,yes,MED:h3_count_not_6:7,Skinfood Egg White Pore Cleansing Foam targets oily T-zones with egg white extract. Authentic Korean import — price in Bangladesh at Emart.
MED,4149,cosrx-advanced-snail-mucin-gel-cleanser-150ml,CosRx Advanced Snail Mucin Gel Cleanser 150ml,CosRx,South Korea,gel_cleanser,cleansing_bar|gel_cleanser,153,7,yes,MED:h3_count_not_6:7,COSRX Snail Mucin Gel Cleanser removes impurities gently using 96% snail secretion filtrate. Barrier-safe Korean cleanser — price in Bangladesh at Emart.
MED,4319,cosrx-ac-collection-calming-foam-cleanser-150ml,CosRx AC Collection Calming Foam Cleanser 150ml,CosRx,South Korea,foam_cleanser,foam_cleanser,150,6,yes,MED:strong_acne_clearing_wording:Key Ingredients Salicylic Acid — beta-hydroxy acid that exfoliates inside pores to clear acne and prevent breakouts Centella Asiatica Extract — soothes redness and irritation while,"COSRX foam cleanser for acne-prone, sensitive skin — salicylic acid + centella asiatica. Authentic South Korean import — buy at Emart Bangladesh, COD."
MED,36319,simple-refreshing-facial-wash-150ml,Simple Refreshing Facial Wash 150ml,Simple,UK,foam_cleanser,foam_cleanser,152,7,yes,MED:h3_count_not_6:7,Simple Refreshing Facial Wash cleanses without dryness using Panthenol and a soap-free formula. Fragrance-free UK import — price in Bangladesh at Emart.
